"Id","layer"
"CDC73","GRN"
"CTR9","GRN"
"LEO1","GRN"
"PAF1","GRN"
"POB3","GRN"
"RTF1","GRN"
"SPT16","GRN"
"CHD1","GRN"
"CKA1","GRN"
"CKA2","GRN"
"CWC2","GRN"
"SPP382","GRN"
"CWC25","GRN"
"DSN1","GRN"
"NSL1","GRN"
"GWT1","GRN"
"NAF1","GRN"
"PSF2","GRN"
"RPO21","GRN"
"RPB3","GRN"
"TFG1","GRN"
"TFG2","GRN"
"TAF14","GRN"
"SPT5","GRN"
"TIM50","GRN"
"NSE3","GRN"
"ESF1","GRN"
"YPI1","GRN"
"SWC4","GRN"
"TAM41","GRN"
"YPP1","GRN"
"SSF1","GRN"
"IPI1","GRN"
"NOP9","GRN"
"YJR012C","GRN"
"TTI2","GRN"
"CAB3","GRN"
"MIA40","GRN"
"KAE1","GRN"
"TRZ1","GRN"
"RIX7","GRN"
"USB1","GRN"
"RMP1","GRN"
"NSE5","GRN"
"LTO1","GRN"
"EMW1","GRN"
"JIP5","GRN"
"RSR1","GRN"
"CDC42","GRN"
"NUG1","GRN"
"SET2","GRN"
"SMC5","GRN"
"ERB1","GRN"
"NOP7","GRN"
"UTP8","GRN"
"UTP10","GRN"
"UTP4","GRN"
"UTP9","GRN"
"UTP21","GRN"
"UTP13","GRN"
"UTP18","GRN"
"UTP22","GRN"
"CKB2","GRN"
"PXA1","GRN"
"MES1","GRN"
"TIF4631","GRN"
"TPA1","GRN"
"KEL3","GRN"
"DBP3","GRN"
"NSR1","GRN"
"NOP58","GRN"
"VIP1","GRN"
"GAR1","GRN"
"YGR283C","GRN"
"CIC1","GRN"
"DBP7","GRN"
"GCD11","GRN"
"MAK21","GRN"
"RRP5","GRN"
"NOC2","GRN"
"PRT1","GRN"
"ALB1","GRN"
"HCA4","GRN"
"MTR4","GRN"
"RRP6","GRN"
"MDM20","GRN"
"NAT3","GRN"
"NOC3","GRN"
"PUS7","GRN"
"SAP185","GRN"
"SIT4","GRN"
"SSD1","GRN"
"BRR2","GRN"
"LSM5","GRN"
"XRN1","GRN"
"PAT1","GRN"
"LSM3","GRN"
"LSM6","GRN"
"PRP3","GRN"
"TMA64","GRN"
"TIF35","GRN"
"RPB5","GRN"
"NPL3","GRN"
"RRP9","GRN"
"DIS3","GRN"
"RRP45","GRN"
"RRP46","GRN"
"LRP1","GRN"
"RPC40","GRN"
"RPA34","GRN"
"RPC17","GRN"
"RPC25","GRN"
"RPC34","GRN"
"RPO31","GRN"
"RPA190","GRN"
"RPA49","GRN"
"RRB1","GRN"
"CBC2","GRN"
"STO1","GRN"
"CDC40","GRN"
"RRP8","GRN"
"HPR1","GRN"
"MFT1","GRN"
"SUB2","GRN"
"THO2","GRN"
"THP2","GRN"
"NPL6","GRN"
"RSC3","GRN"
"RSC58","GRN"
"RSC8","GRN"
"RSC2","GRN"
"RSC4","GRN"
"RTT102","GRN"
"RSC9","GRN"
"MED7","GRN"
"SRB4","GRN"
"SRB5","GRN"
"PTA1","GRN"
"TFC1","GRN"
"MUD1","GRN"
"PRP40","GRN"
